genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
rock,https://api.spotify.com/v1/artists/3RGLhK1IP9jnYFH4BRFJBS,3RGLhK1IP9jnYFH4BRFJBS,,The Clash,70,artist,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,https://open.spotify.com/artist/3RGLhK1IP9jnYFH4BRFJBS,NA,2506528
new wave pop,https://api.spotify.com/v1/artists/3bmFPbLMiLxtR9tFrTcKcP,3bmFPbLMiLxtR9tFrTcKcP,,Matthew Wilder,58,artist,spotify:artist:3bmFPbLMiLxtR9tFrTcKcP,https://open.spotify.com/artist/3bmFPbLMiLxtR9tFrTcKcP,NA,38414
album rock,https://api.spotify.com/v1/artists/2cnMpRsOVqtPMfq7YiFE6K,2cnMpRsOVqtPMfq7YiFE6K,,Van Halen,73,artist,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K,https://open.spotify.com/artist/2cnMpRsOVqtPMfq7YiFE6K,NA,5363813
classic rock,https://api.spotify.com/v1/artists/2cnMpRsOVqtPMfq7YiFE6K,2cnMpRsOVqtPMfq7YiFE6K,,Van Halen,73,artist,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K,https://open.spotify.com/artist/2cnMpRsOVqtPMfq7YiFE6K,NA,5363813
hard rock,https://api.spotify.com/v1/artists/2cnMpRsOVqtPMfq7YiFE6K,2cnMpRsOVqtPMfq7YiFE6K,,Van Halen,73,artist,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K,https://open.spotify.com/artist/2cnMpRsOVqtPMfq7YiFE6K,NA,5363813
rock,https://api.spotify.com/v1/artists/2cnMpRsOVqtPMfq7YiFE6K,2cnMpRsOVqtPMfq7YiFE6K,,Van Halen,73,artist,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K,https://open.spotify.com/artist/2cnMpRsOVqtPMfq7YiFE6K,NA,5363813
album rock,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,6IRouO5mvvfcyxtPDKMYFN,,Foreigner,70,artist,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,NA,2771794
classic rock,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,6IRouO5mvvfcyxtPDKMYFN,,Foreigner,70,artist,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,NA,2771794
glam metal,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,6IRouO5mvvfcyxtPDKMYFN,,Foreigner,70,artist,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,NA,2771794
hard rock,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,6IRouO5mvvfcyxtPDKMYFN,,Foreigner,70,artist,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,NA,2771794
heartland rock,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,6IRouO5mvvfcyxtPDKMYFN,,Foreigner,70,artist,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,NA,2771794
mellow gold,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,6IRouO5mvvfcyxtPDKMYFN,,Foreigner,70,artist,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,NA,2771794
rock,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,6IRouO5mvvfcyxtPDKMYFN,,Foreigner,70,artist,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,NA,2771794
soft rock,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,6IRouO5mvvfcyxtPDKMYFN,,Foreigner,70,artist,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,NA,2771794
new wave pop,https://api.spotify.com/v1/artists/2TzHIUhVpeeDxyJPpQfnV3,2TzHIUhVpeeDxyJPpQfnV3,,Katrina & The Waves,63,artist,spotify:artist:2TzHIUhVpeeDxyJPpQfnV3,https://open.spotify.com/artist/2TzHIUhVpeeDxyJPpQfnV3,NA,80479
folk,https://api.spotify.com/v1/artists/7oPgCQqMMXEXrNau5vxYZP,7oPgCQqMMXEXrNau5vxYZP,,Tracy Chapman,70,artist,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,https://open.spotify.com/artist/7oPgCQqMMXEXrNau5vxYZP,NA,1447078
lilith,https://api.spotify.com/v1/artists/7oPgCQqMMXEXrNau5vxYZP,7oPgCQqMMXEXrNau5vxYZP,,Tracy Chapman,70,artist,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,https://open.spotify.com/artist/7oPgCQqMMXEXrNau5vxYZP,NA,1447078
singer-songwriter,https://api.spotify.com/v1/artists/7oPgCQqMMXEXrNau5vxYZP,7oPgCQqMMXEXrNau5vxYZP,,Tracy Chapman,70,artist,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,https://open.spotify.com/artist/7oPgCQqMMXEXrNau5vxYZP,NA,1447078
women's music,https://api.spotify.com/v1/artists/7oPgCQqMMXEXrNau5vxYZP,7oPgCQqMMXEXrNau5vxYZP,,Tracy Chapman,70,artist,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,https://open.spotify.com/artist/7oPgCQqMMXEXrNau5vxYZP,NA,1447078
album rock,https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY,6ZLTlhejhndI4Rh53vYhrY,,Ozzy Osbourne,72,artist,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY,NA,4735602
alternative metal,https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY,6ZLTlhejhndI4Rh53vYhrY,,Ozzy Osbourne,72,artist,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY,NA,4735602
birmingham metal,https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY,6ZLTlhejhndI4Rh53vYhrY,,Ozzy Osbourne,72,artist,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY,NA,4735602
classic rock,https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY,6ZLTlhejhndI4Rh53vYhrY,,Ozzy Osbourne,72,artist,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY,NA,4735602
glam metal,https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY,6ZLTlhejhndI4Rh53vYhrY,,Ozzy Osbourne,72,artist,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY,NA,4735602
